entity,type,link,KEGG_ID,alias,credibilities
IL22RA1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:58985,hsa:58985,"IL22RA1, CRF2-9, IL22R, IL22R1; interleukin 22 receptor subunit alpha 1",60
RALB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5899,hsa:5899,"RALB; RAS like proto-oncogene B
",27
ACTA2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59,hsa:59,"ACTA2, ACTSA; actin alpha 2, smooth muscle
",1
RALGDS,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5900,hsa:5900,"RALGDS, RGDS, RGF, RalGEF; ral guanine nucleotide dissociation stimulator
",56
RAN,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5901,hsa:5901,"RAN, ARA24, Gsp1, TC4; RAN, member RAS oncogene family
",1
RAP1A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5906,hsa:5906,"RAP1A, C21KG, G-22K, KREV-1, KREV1, RAP1, SMGP21; RAP1A, member of RAS oncogene family",107
IL21,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59067,hsa:59067,"IL21, CVID11, IL-21, Za11; interleukin 21",52
RAP1B,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5908,hsa:5908,"RAP1B, K-REV, RAL1B; RAP1B, member of RAS oncogene family
",103
CARD18,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59082,hsa:59082,"CARD18, ICEBERG, UNQ5804, pseudo-ICE; caspase recruitment domain family member 18
",1
RAP1GAP,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5909,hsa:5909,"RAP1GAP, RAP1GA1, RAP1GAP1, RAP1GAPII, RAPGAP; RAP1 GTPase activating protein
",2
RARA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5914,hsa:5914,"RARA, NR1B1, RAR, RARalpha; retinoic acid receptor alpha",22
RARS1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5917,hsa:5917,"RARS1, ArgRS, DALRD1, HLD9, RARS; arginyl-tRNA synthetase 1
",1
RASA1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5921,hsa:5921,"RASA1, CM-AVM, CMAVM, CMAVM1, GAP, PKWS, RASA, RASGAP, p120, p120GAP, p120RASGAP; RAS p21 protein activator 1
",33
RASA2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5922,hsa:5922,"RASA2, GAP1M; RAS p21 protein activator 2
",14
RASGRF1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5923,hsa:5923,"RASGRF1, CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187, ras-GRF1; Ras protein specific guanine nucleotide releasing factor 1",75
RASGRF2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5924,hsa:5924,"RASGRF2, GRF2, RAS-GRF2; Ras protein specific guanine nucleotide releasing factor 2
",68
RB1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5925,hsa:5925,"RB1, OSRC, PPP1R130, RB, p105-Rb, p110-RB1, pRb, pp110; RB transcriptional corepressor 1
",98
ACE2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59272,hsa:59272,"ACE2, ACEH; angiotensin converting enzyme 2
",9
RBBP4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5928,hsa:5928,"RBBP4, NURF55, RBAP48, lin-53; RB binding protein 4, chromatin remodeling factor",2
CACNG8,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59283,hsa:59283,CACNG8; calcium voltage-gated channel auxiliary subunit gamma 8,65
CACNG7,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59284,hsa:59284,CACNG7; calcium voltage-gated channel auxiliary subunit gamma 7,65
CACNG6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59285,hsa:59285,CACNG6; calcium voltage-gated channel auxiliary subunit gamma 6,65
BCKDHA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:593,hsa:593,"BCKDHA, BCKDE1A, MSU, MSUD1, OVD1A; branched chain keto acid dehydrogenase E1 subunit alpha",22
RBBP8,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5932,hsa:5932,"RBBP8, COM1, CTIP, JWDS, RIM, SAE2, SCKL2; RB binding protein 8, endonuclease
",3
RBL1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5933,hsa:5933,"RBL1, CP107, PRB1, p107; RB transcriptional corepressor like 1",13
RBL2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5934,hsa:5934,"RBL2, BRUWAG, P130, Rb2; RB transcriptional corepressor like 2
",18
HRH4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59340,hsa:59340,"HRH4, AXOR35, BG26, GPCR105, GPRv53, H4, H4R, HH4R; histamine receptor H4
",1
TRPV4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59341,hsa:59341,"TRPV4, BCYM3, CMT2C, HMSN2C, OTRPC4, SMAL, SPSMA, SSQTL1, TRP12, VRL2, VROAC; transient receptor potential cation channel subfamily V member 4
",23
SENP2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59343,hsa:59343,"SENP2, AXAM2, SMT3IP2; SUMO specific peptidase 2
",3
GNB4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59345,hsa:59345,"GNB4, CMTD1F, HG2B; G protein subunit beta 4",383
ZNF350,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59348,hsa:59348,"ZNF350, ZBRK1, ZFQR; zinc finger protein 350
",3
RXFP1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:59350,hsa:59350,"RXFP1, LGR7, RXFPR1; relaxin family peptide receptor 1
",12
BCKDHB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:594,hsa:594,"BCKDHB, BCKDE1B, BCKDH_E1-beta, E1B; branched chain keto acid dehydrogenase E1 subunit beta
",22
RBP2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5948,hsa:5948,"RBP2, CRABP-II, CRBP2, CRBPII, RBPC2; retinol binding protein 2
",1
CCND1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:595,hsa:595,"CCND1, BCL1, D11S287E, PRAD1, U21B31; cyclin D1
",142
RCVRN,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5957,hsa:5957,"RCVRN, RCV1; recoverin
",4
RDH5,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5959,hsa:5959,"RDH5, 9cRDH, HSD17B9, RDH1, SDR9C5; retinol dehydrogenase 5
",8
BCL2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:596,hsa:596,"BCL2, Bcl-2, PPP1R50; BCL2 apoptosis regulator
",199
RDX,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5962,hsa:5962,"RDX, DFNB24; radixin",10
REL,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5966,hsa:5966,"REL, C-Rel, HIVEN86A, IMD92; REL proto-oncogene, NF-kB subunit
",1
BCL2A1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:597,hsa:597,"BCL2A1, ACC-1, ACC-2, ACC1, ACC2, BCL2L5, BFL1, GRS, HBPA1; BCL2 related protein A1
",4
RELA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5970,hsa:5970,"RELA, CMCU, NFKB3, p65; RELA proto-oncogene, NF-kB subunit
",846
RELB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5971,hsa:5971,"RELB, I-REL, IMD53, IREL, REL-B; RELB proto-oncogene, NF-kB subunit
",35
REN,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5972,hsa:5972,"REN, ADTKD4, HNFJ2, RTD; renin
",18
RENBP,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5973,hsa:5973,"RENBP, RBP, RNBP; renin binding protein
",9
UPF1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5976,hsa:5976,"UPF1, HUPF1, NORF1, RENT1, UTF, pNORF1, smg-2; UPF1 RNA helicase and ATPase
",7
REST,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5978,hsa:5978,"REST, DFNA27, GINGF5, HGF5, NRSF, WT6, XBR; RE1 silencing transcription factor
",1
RET,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5979,hsa:5979,"RET, CDHF12, CDHR16, HSCR1, MEN2A, MEN2B, MTC1, PTC, RET-ELE1; ret proto-oncogene",45
BCL2L1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:598,hsa:598,"BCL2L1, BCL-XL/S, BCL2L, BCLX, Bcl-X, PPP1R52; BCL2 like 1
",89
RFNG,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5986,hsa:5986,"RFNG; RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
",8
BCL2L2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:599,hsa:599,"BCL2L2, BCL-W, BCL2-L-2, BCLW, PPP1R51; BCL2 like 2
",3
RFX5,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5993,hsa:5993,RFX5; regulatory factor X5,19
RFXAP,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5994,hsa:5994,RFXAP; regulatory factor X associated protein,19
RGS2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5997,hsa:5997,"RGS2, G0S8; regulator of G protein signaling 2
",13
RGS3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:5998,hsa:5998,"RGS3, C2PA, RGP3; regulator of G protein signaling 3
",6
ACTB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:60,hsa:60,"ACTB, BRWS1, PS1TP5BP1; actin beta",368
RHEB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6009,hsa:6009,"RHEB, RHEB2; Ras homolog, mTORC1 binding
",26
RHO,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6010,hsa:6010,"RHO, CSNBAD1, OPN2, RP4; rhodopsin
",11
GRK1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6011,hsa:6011,"GRK1, GPRK1, RHOK, RK; G protein-coupled receptor kinase 1
",21
RLN1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6013,hsa:6013,"RLN1, H1, H1RLX, RLXH1, bA12D24.3.1, bA12D24.3.2; relaxin 1",6
RLN2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6019,hsa:6019,"RLN2, H2, H2-RLX, RLXH2, bA12D24.1.1, bA12D24.1.2; relaxin 2
",6
BCL3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:602,hsa:602,"BCL3, BCL4, D19S37; BCL3 transcription coactivator
",2
BCL6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:604,hsa:604,"BCL6, BCL5, BCL6A, LAZ3, ZBTB27, ZNF51; BCL6 transcription repressor
",9
EDA2R,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:60401,hsa:60401,"EDA2R, EDA-A2R, EDAA2R, TNFRSF27, XEDAR; ectodysplasin A2 receptor
",3
RNASEL,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6041,hsa:6041,"RNASEL, PRCA1, RNS4; ribonuclease L
",3
TGIF2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:60436,hsa:60436,TGIF2; TGFB induced factor homeobox 2,2
ELOVL5,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:60481,hsa:60481,"ELOVL5, HELO1, SCA38, dJ483K16.1; ELOVL fatty acid elongase 5",1
SLC5A7,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:60482,hsa:60482,"SLC5A7, CHT, CHT1, CMS20, HMN7A; solute carrier family 5 member 7",2
SAV1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:60485,hsa:60485,"SAV1, SAV, WW45, WWP4; salvador family WW domain containing protein 1
",9
APOBEC3G,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:60489,hsa:60489,"APOBEC3G, A3G, ARCD, ARP-9, ARP9, CEM-15, CEM15, MDS019, bK150C2.7, dJ494G10.1; apolipoprotein B mRNA editing enzyme catalytic subunit 3G",1
PPCDC,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:60490,hsa:60490,"PPCDC, MDS018, PPC-DC, coaC; phosphopantothenoylcysteine decarboxylase
",10
HPSE2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:60495,hsa:60495,"HPSE2, HPA2, HPR2, UFS, UFS1; heparanase 2 (inactive)
",3
AASDHPPT,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:60496,hsa:60496,"AASDHPPT, AASD-PPT, ACPS, CGI-80, LYS2, LYS5; aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
",1
ATG101,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:60673,hsa:60673,"ATG101, C12orf44; autophagy related 101
",6
TNFRSF17,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:608,hsa:608,"TNFRSF17, BCM, BCMA, CD269, TNFRSF13A; TNF receptor superfamily member 17
",6
ROBO1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6091,hsa:6091,"ROBO1, DUTT1, SAX3; roundabout guidance receptor 1
",8
ROBO2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6092,hsa:6092,"ROBO2, SAX3; roundabout guidance receptor 2
",7
ROCK1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6093,hsa:6093,"ROCK1, P160ROCK, ROCK-I; Rho associated coiled-coil containing protein kinase 1",186
RORA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6095,hsa:6095,"RORA, IDDECA, NR1F1, ROR1, ROR2, ROR3, RZR-ALPHA, RZRA; RAR related orphan receptor A
",18
RORC,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6097,hsa:6097,"RORC, IMD42, NR1F3, RORG, RZR-GAMMA, RZRG, TOR; RAR related orphan receptor C
",26
HCN2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:610,hsa:610,"HCN2, BCNG-2, BCNG2, EIG17, FEB2, GEFSP11, HAC-1; hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
",1
RPE,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6120,hsa:6120,"RPE, RPE2-1; ribulose-5-phosphate-3-epimerase",12
RPE65,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6121,hsa:6121,"RPE65, BCO3, LCA2, RP20, mRPE65, p63, rd12, sRPE65; retinoid isomerohydrolase RPE65
",10
BCR,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:613,hsa:613,"BCR, ALL, BCR1, CML, D22S11, D22S662, PHL; BCR activator of RhoGEF and GTPase
",15
RPS3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6188,hsa:6188,"RPS3, S3; ribosomal protein S3
",1
RPS6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6194,hsa:6194,"RPS6, S6; ribosomal protein S6
",22
RPS6KA1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6195,hsa:6195,"RPS6KA1, HU-1, MAPKAPK1, MAPKAPK1A, RSK, RSK1, p90Rsk; ribosomal protein S6 kinase A1",79
RPS6KA2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6196,hsa:6196,"RPS6KA2, HU-2, MAPKAPK1C, RSK, RSK3, S6K-alpha, S6K-alpha2, p90-RSK3, p90RSK2, pp90RSK3; ribosomal protein S6 kinase A2",79
RPS6KA3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6197,hsa:6197,"RPS6KA3, CLS, HU-3, ISPK-1, MAPKAPK1B, MRX19, RSK, RSK2, S6K-alpha3, XLID19, p90-RSK2, pp90RSK2; ribosomal protein S6 kinase A3
",79
RPS6KB1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6198,hsa:6198,"RPS6KB1, PS6K, S6K, S6K-beta-1, S6K1, STK14A, p70_S6KA, p70(S6K)-alpha, p70-S6K, p70-alpha; ribosomal protein S6 kinase B1",151
RPS6KB2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6199,hsa:6199,"RPS6KB2, KLS, P70-beta, P70-beta-1, P70-beta-2, S6K-beta2, S6K2, S6KB, S6KI(2), S6Kbeta, SRK, STK14B, p70(S6K)-beta, p70S6Kb; ribosomal protein S6 kinase B2
",151
BDH1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:622,hsa:622,"BDH1, BDH, SDR9C1; 3-hydroxybutyrate dehydrogenase 1
",5
BDKRB1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:623,hsa:623,"BDKRB1, B1BKR, B1R, BKB1R, BKR1, BRADYB1; bradykinin receptor B1",17
RPS27A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6233,hsa:6233,"RPS27A, CEP80, HEL112, S27A, UBA80, UBC, UBCEP1, UBCEP80; ribosomal protein S27a",46
RRAS,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6237,hsa:6237,"RRAS, R-Ras; RAS related
",169
BDKRB2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:624,hsa:624,"BDKRB2, B2R, BK-2, BK2, BKR2, BRB2; bradykinin receptor B2",34
RRM1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6240,hsa:6240,"RRM1, R1, RIR1, RR1; ribonucleotide reductase catalytic subunit M1",121
RRM2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6241,hsa:6241,"RRM2, C2orf48, R2, RR2, RR2M; ribonucleotide reductase regulatory subunit M2
",122
CLIP1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6249,hsa:6249,"CLIP1, CLIP, CLIP-170, CLIP170, CYLN1, RSN; CAP-Gly domain containing linker protein 1
",2
RXRA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6256,hsa:6256,"RXRA, NR2B1, RXR-alpha, RXRalpha; retinoid X receptor alpha",17
RXRB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6257,hsa:6257,"RXRB, DAUDI6, H-2RIIBP, NR2B2, RCoR-1, RXR-beta, RXRbeta; retinoid X receptor beta",12
RXRG,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6258,hsa:6258,"RXRG, NR2B3, RXR-gamma, RXRC, RXRgamma; retinoid X receptor gamma
",12
RYK,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6259,hsa:6259,"RYK, D3S3195, JTK5, JTK5A, RYK1; receptor like tyrosine kinase
",24
RYR1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6261,hsa:6261,"RYR1, CCO, KDS, MHS, MHS1, PPP1R137, RYDR, RYR, RYR-1, SKRR; ryanodine receptor 1",20
RYR2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6262,hsa:6262,"RYR2, ARVC2, ARVD2, RYR-2, RyR, VACRDS, VTSIP; ryanodine receptor 2",89
RYR3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6263,hsa:6263,"RYR3, RYR-3; ryanodine receptor 3
",19
BDNF,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:627,hsa:627,"BDNF, ANON2, BULN2; brain derived neurotrophic factor",101
SORT1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6272,hsa:6272,"SORT1, Gp95, LDLCQ6, NT3, NTR3; sortilin 1
",3
S100A7,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6278,hsa:6278,"S100A7, PSOR1, S100A7c; S100 calcium binding protein A7
",8
S100A8,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6279,hsa:6279,"S100A8, 60B8AG, CAGA, CFAG, CGLA, CP-10, L1Ag, MA387, MIF, MRP8, NIF, P8, S100-A8; S100 calcium binding protein A8
",8
S100A9,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6280,hsa:6280,"S100A9, 60B8AG, CAGB, CFAG, CGLB, L1AG, LIAG, MAC387, MIF, MRP14, NIF, P14, S100-A9; S100 calcium binding protein A9
",8
CFB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:629,hsa:629,"CFB, AHUS4, ARMD14, BF, BFD, CFAB, CFBD, FB, FBI12, GBG, H2-Bf, PBF2; complement factor B
",2
SAG,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6295,hsa:6295,"SAG, RP47, S-AG; S-antigen visual arrestin
",1
ACSM3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6296,hsa:6296,"ACSM3, SA, SAH; acyl-CoA synthetase medium chain family member 3
",2
MAPK12,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6300,hsa:6300,"MAPK12, ERK-6, ERK3, ERK6, MAPK_12, P38GAMMA, PRKM12, SAPK-3, SAPK3; mitogen-activated protein kinase 12
",539
SARS1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6301,hsa:6301,"SARS1, NEDMAS, SARS, SERRS, SERS; seryl-tRNA synthetase 1
",3
SAT1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6303,hsa:6303,"SAT1, DC21, KFSD, KFSDX, SAT, SSAT, SSAT-1; spermidine/spermine N1-acetyltransferase 1
",7
MSMO1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6307,hsa:6307,"MSMO1, DESP4, ERG25, MCCPD, SC4MOL; methylsterol monooxygenase 1
",6
SC5D,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6309,hsa:6309,"SC5D, ERG3, S5DES, SC5DL; sterol-C5-desaturase
",6
ATXN1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6310,hsa:6310,"ATXN1, ATX1, D6S504E, SCA1; ataxin 1
",5
ATXN2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6311,hsa:6311,"ATXN2, ATX2, SCA2, TNRC13; ataxin 2",7
SERPINB3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6317,hsa:6317,"SERPINB3, HsT1196, SCC, SCCA-1, SCCA-PD, SCCA1, SSCA1, T4-A; serpin family B member 3",1
SERPINB4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6318,hsa:6318,"SERPINB4, LEUPIN, PI11, SCCA-2, SCCA1, SCCA2; serpin family B member 4
",1
SCD,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6319,hsa:6319,"SCD, FADS5, MSTP008, SCD1, SCDOS, hSCD1; stearoyl-CoA desaturase",2
SCN1A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6323,hsa:6323,"SCN1A, DEE6, DEE6A, DEE6B, DRVT, EIEE6, FEB3, FEB3A, FHM3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI; sodium voltage-gated channel alpha subunit 1
",27
SCN1B,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6324,hsa:6324,"SCN1B, ATFB13, BRGDA5, DEE52, EIEE52, GEFSP1; sodium voltage-gated channel beta subunit 1",14
SCN2A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6326,hsa:6326,"SCN2A, BFIC3, BFIS3, BFNIS, DEE11, EA9, EIEE11, HBA, HBSCI, HBSCII, NAC2, Na(v)1.2, Nav1.2, SCN2A1, SCN2A2; sodium voltage-gated channel alpha subunit 2",1
SCN3A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6328,hsa:6328,"SCN3A, DEE62, EIEE62, FFEVF4, NAC3, Nav1.3; sodium voltage-gated channel alpha subunit 3",1
SCN4B,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6330,hsa:6330,"SCN4B, ATFB17, LQT10, Navbeta4; sodium voltage-gated channel beta subunit 4",14
SCN5A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6331,hsa:6331,"SCN5A, CDCD2, CMD1E, CMPD2, HB1, HB2, HBBD, HH1, ICCD, IVF, LQT3, Nav1.5, PFHB1, SSS1, VF1; sodium voltage-gated channel alpha subunit 5",14
SCN7A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6332,hsa:6332,"SCN7A, NaG, Nav2.1, Nav2.2, SCN6A; sodium voltage-gated channel alpha subunit 7
",14
SCN9A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6335,hsa:6335,"SCN9A, ETHA, FEB3B, GEFSP7, HSAN2D, NE-NA, NENA, Nav1.7, PN1, SFNP; sodium voltage-gated channel alpha subunit 9
",1
SCNN1A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6337,hsa:6337,"SCNN1A, BESC2, ENaCa, ENaCalpha, LIDLS3, SCNEA, SCNN1; sodium channel epithelial 1 subunit alpha",2
SCNN1B,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6338,hsa:6338,"SCNN1B, BESC1, ENaCb, ENaCbeta, LIDLS1, SCNEB; sodium channel epithelial 1 subunit beta",2
SCNN1G,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6340,hsa:6340,"SCNN1G, BESC3, ENaCg, ENaCgamma, LDLS2, PHA1, SCNEG; sodium channel epithelial 1 subunit gamma
",2
SCP2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6342,hsa:6342,"SCP2, NLTP, NSL-TP, SCOX, SCP-2, SCP-CHI, SCP-X, SCPX; sterol carrier protein 2
",9
SCT,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6343,hsa:6343,"SCT; secretin
",2
SCTR,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6344,hsa:6344,"SCTR, SR; secretin receptor
",4
CCL1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6346,hsa:6346,"CCL1, I-309, P500, SCYA1, SISe, TCA3; C-C motif chemokine ligand 1
",39
CCL2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6347,hsa:6347,"CCL2, GDCF-2, HC11, HSMCR30, MCAF, MCP-1, MCP1, SCYA2, SMC-CF; C-C motif chemokine ligand 2
",87
CCL3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6348,hsa:6348,"CCL3, G0S19-1, LD78ALPHA, MIP-1-alpha, MIP1A, SCYA3; C-C motif chemokine ligand 3",50
CCL3L1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6349,hsa:6349,"CCL3L1, 464.2, D17S1718, G0S19-2, LD78, LD78-beta(1-70), LD78BETA, MIP1AP, SCYA3L, SCYA3L1; C-C motif chemokine ligand 3 like 1
",50
BHMT,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:635,hsa:635,"BHMT, BHMT1, HEL-S-61p; betaine--homocysteine S-methyltransferase
",16
CCL4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6351,hsa:6351,"CCL4, ACT2, AT744.1, G-26, HC21, LAG-1, LAG1, MIP-1-beta, MIP1B, MIP1B1, SCYA2, SCYA4; C-C motif chemokine ligand 4",46
CCL5,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6352,hsa:6352,"CCL5, D17S136E, RANTES, SCYA5, SIS-delta, SISd, TCP228, eoCP; C-C motif chemokine ligand 5
",80
CCL7,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6354,hsa:6354,"CCL7, FIC, MARC, MCP-3, MCP3, NC28, SCYA6, SCYA7; C-C motif chemokine ligand 7
",51
CCL8,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6355,hsa:6355,"CCL8, HC14, MCP-2, MCP2, SCYA10, SCYA8; C-C motif chemokine ligand 8
",43
CCL11,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:6356,hsa:6356,"CCL11, SCYA11; C-C motif chemokine ligand 11
",46
